VenueName,Address,City,Category
Castle Island,Castle Island,Boston,Fun
Old South Meeting House,310 Washington St (at Milk St.),Boston,Fun
Christopher Columbus Park,Atlantic Ave. (at Atlantic Ave.),Boston,Fun
Quincy Market,1 Faneuil Hall Sq (btwn Clinton & Chatham),Boston,Fun
Faneuil Hall Marketplace,1 S Market St (at Congress St & North St),Boston,Fun
Wally's Cafe,427 Massachusetts Ave (at Columbus Ave),Boston,Fun
Commonwealth Park,"",Boston,Fun
The Battle Of Bunker Hill Museum,Monument Square,Boston,Fun
Urban Grape,303 Columbus Ave,Boston,Shopping
Ball and Buck,144B Newbury St (at Darmouth St),Boston,Shopping
lululemon athletica,337 Newbury St,Boston,Shopping
Trident Booksellers & Cafe,338 Newbury St (btwn Hereford St & Mass Ave),Boston,Shopping
South End Open Market @ SoWa,500 Harrison Ave (at Perry St),Boston,Shopping
Copley Square Farmer's Market,139 St. James Ave (Boylston St. and Dartmouth St.),Boston,Shopping
Bodega,6 Clearway St (at Massachusetts Ave.),Boston,Shopping
J.Crew,Huntington Avenue (at Copley),Boston,Shopping
injeanius,441 Hanover St (at Salutation St.),Boston,Shopping
The Frye Company,284 Newbury St (at Glouchester Street),Boston,Shopping
Salmagundi,765 Centre St,Boston,Shopping
Super 88 Market Food Connection,1 Brighton Ave (adj to Super 88 Market),Boston,Shopping
Copley Place,100 Huntington Ave (at Harcourt St),Boston,Shopping
Shake the Tree,67 Salem St,Boston,Shopping
South End Food Trucks @ SoWa,540 Harrison Ave (Rollins Street),Boston,Shopping
Bauer Wines And Spirits,330 Newbury St (btwn Hereford & Mass Ave),Boston,Shopping
The Shops at Prudential Center,800 Boylston St (at Ring Rd),Boston,Shopping
Social Wines,52 W Broadway (at A Street),Boston,Shopping
Flock,274 Shawmut Ave (Hanson),Boston,Shopping
Victoria's Secret,82 Newbury St,Boston,Shopping
Barneys New York,100 Huntington Ave (Dartmouth Street),Boston,Shopping
Crush Boutique,131 Charles St,Boston,Shopping
Second Time Around,324 Newbury St (btw Hereford & Mass Ave),Boston,Shopping
Barnes & Noble,800 Boylston St (Prudential Center),Boston,Shopping
INTERMIX,186 Newbury St (btw Exeter & Dartmouth),Boston,Shopping
Wine Bottega,341 Hanover St (btwn Fleet & Prince),Boston,Shopping
REI,401 Park Dr,Boston,Shopping
Mercato del Mare (North End Fish Market),99 Salem St (btwn Cross & Parmenter),Boston,Shopping
Patagonia Boston,346 Newbury St,Boston,Shopping
Sault: New England,577 Tremont St,Boston,Shopping
